model,image,recall,gt_count,pred_count
../../runs/detect/train2/weights/best.pt,game_20251122_45OhyXZV_00420.jpg,1.0,9,9
../../runs/detect/train2/weights/best.pt,game_20251122_45OhyXZV_00440.jpg,1.0,8,8
../../runs/detect/train2/weights/best.pt,game_20251122_45OhyXZV_00460.jpg,1.0,9,9
../../runs/detect/train2/weights/best.pt,game_20251122_45OhyXZV_00470.jpg,1.0,9,9
../../runs/detect/train2/weights/best.pt,game_20251122_45OhyXZV_00500.jpg,1.0,11,11
../../runs/detect/train2/weights/best.pt,game_20251122_45OhyXZV_00650.jpg,1.0,11,11
../../runs/detect/train2/weights/best.pt,game_20251122_BPrP-O6-_00010.jpg,1.0,1,1
../../runs/detect/train2/weights/best.pt,game_20251122_BPrP-O6-_00020.jpg,1.0,1,1
../../runs/detect/train2/weights/best.pt,game_20251122_BPrP-O6-_00030.jpg,1.0,1,1
../../runs/detect/train2/weights/best.pt,game_20251122_BPrP-O6-_00040.jpg,1.0,2,2
../../runs/detect/train2/weights/best.pt,game_20251122_BPrP-O6-_00050.jpg,1.0,2,2
../../runs/detect/train2/weights/best.pt,game_20251122_BPrP-O6-_00060.jpg,1.0,2,2
../../runs/detect/train2/weights/best.pt,game_20251122_BPrP-O6-_00090.jpg,1.0,5,5
../../runs/detect/train2/weights/best.pt,game_20251122_BPrP-O6-_00100.jpg,1.0,5,5
../../runs/detect/train2/weights/best.pt,game_20251122_BPrP-O6-_00120.jpg,1.0,6,7
../../runs/detect/train2/weights/best.pt,game_20251122_BPrP-O6-_00150.jpg,1.0,6,6
../../runs/detect/train2/weights/best.pt,game_20251122_BPrP-O6-_00160.jpg,1.0,6,6
../../runs/detect/train2/weights/best.pt,game_20251122_BPrP-O6-_00170.jpg,1.0,6,6
../../runs/detect/train2/weights/best.pt,game_20251122_BPrP-O6-_00190.jpg,1.0,6,6
../../runs/detect/train2/weights/best.pt,game_20251122_BPrP-O6-_00200.jpg,1.0,6,6
